t_ms,ibi_ms_ecg1,ibi_ms_ecg2
259000,959.6113,773.525
259500,959.1474,720.7997
260000,956.5505,686.9664
260500,954.7677,653.9914
261000,950.4598,638.3962
261500,943.3415,657.1905
262000,934.9794,671.637
262500,928.2259,685.0418
263000,921.5992,688.4655
263500,891.2315,670.1766
264000,828.7163,648.2151
264500,790.9285,654.0439
265000,799.1335,670.7134
265500,799.4125,694.8177
266000,781.828,785.402
266500,764.9971,840.6255
267000,763.031,823.0754
267500,749.3661,792.2667
268000,693.9323,786.4408
268500,684.1277,807.6174
269000,711.914,810.8824
269500,700.4534,799.382
270000,692.2648,792.6627
270500,712.436,763.4676
271000,748.3171,713.9094
271500,769.2879,679.2236
272000,786.3574,653.7095
272500,799.874,645.1748
273000,789.1408,656.8006
273500,768.5817,646.6958
274000,752.4357,758.5709
274500,733.9204,925.6791
275000,719.6134,955.8561
275500,706.0077,908.7801
276000,665.1066,857.5134
276500,650.0509,847.3876
277000,666.1019,872.4572
277500,647.0361,885.9966
278000,633.3464,855.8657
278500,626.1819,777.0669
279000,650.0316,704.9693
279500,728.3372,669.6009
280000,794.0968,656.3334
280500,878.4029,671.3918
281000,961.4328,747.4608
281500,955.8239,867.4379
282000,904.2983,914.3185
282500,889.0453,877.0279
283000,898.7332,795.8572
283500,899.5338,723.521
284000,888.8799,689.0303
284500,870.2056,686.2411
285000,846.9449,755.3217
285500,822.532,873.3608
286000,799.6476,949.7239
286500,775.5558,989.2353
287000,748.2901,1000.9585
287500,723.6742,962.2621
288000,711.4917,883.2224
288500,711.8185,828.8168
289000,696.85,822.5077
289500,670.6485,823.8373
290000,656.087,804.7619
290500,668.5424,765.0901
291000,705.578,764.3077
291500,759.3369,805.1203
292000,815.6294,823.4575
292500,850.7572,850.1416
293000,857.2924,891.2735
293500,838.6972,863.0395
294000,805.5565,790.4941
294500,776.9765,771.7042
295000,776.95,817.2742
295500,793.6294,894.9742
296000,806.5715,960.2206
296500,814.0837,966.1792
297000,807.6378,881.7428
297500,777.9897,784.8335
298000,737.4151,767.2415
298500,704.2394,763.8252
299000,693.9985,736.0944
299500,700.3483,750.7544
300000,710.9463,826.7963
300500,722.8115,922.5985
301000,754.1714,954.2672
301500,803.5831,937.8935
302000,851.7571,929.3391
302500,874.4814,913.6112
303000,866.0682,861.4168
303500,833.9642,785.2093
304000,783.9343,711.5031
304500,734.5756,672.7821
305000,731.1358,649.712
305500,743.2337,619.3107
306000,716.5265,631.6893
306500,694.2035,679.0462
307000,682.7993,705.4308
307500,673.4886,732.7201
308000,687.7555,865.6804
308500,692.889,982.5611
309000,688.7167,1005.0756
309500,709.9231,970.3501
310000,744.5648,925.3368
310500,765.4414,915.8587
311000,760.5709,925.3875
311500,747.1598,900.7343
312000,734.948,856.2891
312500,720.6022,827.0178
313000,690.1873,794.4198
313500,661.4376,745.9628
314000,654.1242,712.4252
314500,660.9382,706.8369
315000,647.7729,718.0038
315500,647.9015,718.2642
316000,685.1204,697.1729
316500,723.3634,663.2371
317000,740.7279,636.1705
317500,729.7826,619.0864
318000,710.2271,605.5652
318500,725.662,603.252
319000,739.5,624.3919
319500,739.0405,631.2928
320000,771.3918,644.8227
320500,813.8806,640.09
321000,848.9104,615.4332
321500,886.557,626.6796
322000,912.1534,623.8638
322500,911.9016,627.5209
323000,899.6964,646.822
323500,887.3553,655.8325
324000,876.2562,643.6037
324500,858.8092,632.356
325000,821.8322,629.2246
325500,768.8125,627.1405
326000,718.7598,625.785
326500,711.2074,652.8328
327000,718.7787,751.2836
327500,688.5154,807.9872
328000,689.9265,751.516
328500,727.6224,696.1726
329000,754.9322,693.1355
329500,749.7629,746.8246
330000,758.6937,840.687
330500,793.2816,916.0754
331000,789.4751,944.2309
331500,771.2154,950.5685
332000,775.5643,939.7502
332500,794.0234,902.0341
333000,820.2756,859.9376
333500,839.3691,847.681
334000,806.5791,860.7911
334500,748.6675,878.1583
335000,745.8745,874.1668
335500,755.8463,839.883
336000,740.3246,787.8786
336500,730.6566,739.0615
337000,725.8354,712.8731
337500,718.5642,706.4782
338000,711.9737,710.7924
338500,703.3931,707.8214
339000,695.7273,674.9656
339500,694.6559,755.9545
340000,690.4586,957.104
340500,688.6738,970.4754
341000,695.4205,880.7057
341500,700.6242,869.6109
342000,709.6466,895.0147
342500,718.4026,885.0384
343000,718.5805,844.1982
343500,729.0325,785.9149
344000,751.8894,725.1062
344500,773.1045,711.8436
345000,776.3715,758.2463
345500,768.5167,746.0391
346000,765.8623,710.8718
346500,776.9119,732.2009
347000,793.6382,779.5026
347500,796.2575,788.7628
348000,763.4499,736.3278
348500,719.091,679.8493
